[0930/213155.011:INFO:CONSOLE(123)] "Event handler of 'x-storagemutated-1' event must be added on the initial evaluation of worker script.", source: https://static.whatsapp.net/rsrc.php/v3/yc/r/A5FylcBZggy.js?_nc_x=Ij3Wp8lg5Kz (123)
[0930/213203.682:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/ya/r/ByF5Vq3TgbF.js?_nc_x=Ij3Wp8lg5Kz (343)
[0930/213203.731:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed batch", source: https://static.whatsapp.net/rsrc.php/v3/ya/r/ByF5Vq3TgbF.js?_nc_x=Ij3Wp8lg5Kz (343)
[0930/213203.731:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed", source: https://static.whatsapp.net/rsrc.php/v3/ya/r/ByF5Vq3TgbF.js?_nc_x=Ij3Wp8lg5Kz (343)
[0930/213210.147:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/ya/r/ByF5Vq3TgbF.js?_nc_x=Ij3Wp8lg5Kz (343)
[0930/213210.198:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed batch", source: https://static.whatsapp.net/rsrc.php/v3/ya/r/ByF5Vq3TgbF.js?_nc_x=Ij3Wp8lg5Kz (343)
[0930/213210.198:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed", source: https://static.whatsapp.net/rsrc.php/v3/ya/r/ByF5Vq3TgbF.js?_nc_x=Ij3Wp8lg5Kz (343)
[0930/213214.026:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/ya/r/ByF5Vq3TgbF.js?_nc_x=Ij3Wp8lg5Kz (343)
[0930/213214.074:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed batch", source: https://static.whatsapp.net/rsrc.php/v3/ya/r/ByF5Vq3TgbF.js?_nc_x=Ij3Wp8lg5Kz (343)
[0930/213214.074:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed", source: https://static.whatsapp.net/rsrc.php/v3/ya/r/ByF5Vq3TgbF.js?_nc_x=Ij3Wp8lg5Kz (343)
[0930/213236.566:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/ya/r/ByF5Vq3TgbF.js?_nc_x=Ij3Wp8lg5Kz (343)
[0930/213237.584:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed batch", source: https://static.whatsapp.net/rsrc.php/v3/ya/r/ByF5Vq3TgbF.js?_nc_x=Ij3Wp8lg5Kz (343)
[0930/213237.584:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed", source: https://static.whatsapp.net/rsrc.php/v3/ya/r/ByF5Vq3TgbF.js?_nc_x=Ij3Wp8lg5Kz (343)
